P450 inhib,Herbicide,Biotype,hours,rep,Conc. (ng),Total amount (ug),Fresh wg. (g),ug/g ,,,,
No app.,Mesotrione,Resistant,72,12,0.127,0.635,1.854,0.342502697,,,,
No app.,Mesotrione,Resistant,168,13,0.64,3.2,2.625,1.219047619,,,,
No app.,Mesotrione,Resistant,168,14,0,0,0.692,0,,,,
No app.,Mesotrione,Resistant,168,15,0.031,0.155,1.988,0.077967807,,,,
No app.,Mesotrione,Resistant,168,16,0.087,0.435,1.677,0.259391771,,,,
No app.,Mesotrione,Resistant,336,17,0,0,0.542,0,,,,
No app.,Mesotrione,Resistant,336,18,0,0,0.183,0,,,,
No app.,Mesotrione,Resistant,336,19,0,0,0.934,0,,,,
No app.,Mesotrione,Resistant,336,20,0.169,0.845,0.64,1.3203125,,,,
No app.,Mesotrione,Susceptible,12,1,4.452,22.26,0.657,111.512954,,111.3495815,,59.36604352
No app.,Mesotrione,Susceptible,12,2,17.723,88.615,0.726,122.0592287,,,,
No app.,Mesotrione,Susceptible,12,3,9.952,49.76,0.477,104.3186583,,,,
No app.,Mesotrione,Susceptible,12,4,14.363,71.815,0.668,107.507485,,,,
No app.,Mesotrione,Susceptible,24,5,14.292,71.46,0.944,75.69915254,,66.10384102,,
No app.,Mesotrione,Susceptible,24,6,7.244,36.22,0.511,70.88062622,,,,
No app.,Mesotrione,Susceptible,24,7,11.58,57.9,0.921,62.86644951,,,,
No app.,Mesotrione,Susceptible,24,8,10.686,53.43,0.972,54.9691358,,,,
No app.,Mesotrione,Susceptible,72,9,5.734,28.67,1.631,17.5781729,,,,
No app.,Mesotrione,Susceptible,72,10,4.606,23.03,1.682,13.69203329,,,,
No app.,Mesotrione,Susceptible,72,11,7.139,35.695,1.499,23.81254169,,,,
No app.,Mesotrione,Susceptible,72,12,0,0,1.451,0,,,,
No app.,Mesotrione,Susceptible,168,13,1.864,9.32,1.016,9.173228346,,,,
No app.,Mesotrione,Susceptible,168,14,2.605,13.025,0.796,16.36306533,,,,
No app.,Mesotrione,Susceptible,168,15,1.882,9.41,1.173,8.022165388,,,,
No app.,Mesotrione,Susceptible,168,16,2.9,14.5,0.616,23.53896104,,,,
