TRT,REP,Y,fresh
Amitrole,1,39.81,1.002
Amitrole,2,40.815,0.858
Amitrole,3,38.96,1.286
Amitrole,4,83.945,1.521
PBO,1,67.795,0.571
PBO,2,43.24,0.208
PBO,3,65.465,0.467
PBO,4,54.705,0.598
Malathion,1,42.3,0.653
Malathion,2,42.7,1.246
Malathion,3,42.98,0.753
Malathion,4,61.535,1.306
R,1,59.43,0.931
R,2,108.17,0.985
R,3,72.335,0.962
R,4,98.36,1.02
S,1,0.845,0.657
S,2,22.26,0.726
S,3,88.615,0.477
S,4,49.76,0.668
