"","h","1"
"1",12,93.8077230267632
"2",12.4107779078437,93.4184319288756
"3",12.8356173564852,92.9049179328261
"4",13.2749996934501,92.2296976164422
"5",13.7294227435086,91.3455617234506
"6",14.1994013727153,90.1942011119491
"7",14.6854680717584,88.7055072225865
"8",15.188173559277,86.7983014915036
"9",15.7080874058309,84.3835672119949
"10",16.2457986792304,81.3714743957657
"11",16.8019166119558,77.6833285994469
"12",17.3770712914245,73.268640420992
"13",17.9719143738864,68.1254771821311
"14",18.5871198227573,62.3193259227503
"15",19.2233846722268,55.9931303780598
"16",19.8814298170045,49.3612036827559
"17",20.5620008291021,42.6841329813176
"18",21.2658688025737,36.2296076026447
"19",21.9938312271737,30.230976359604
"20",22.7467128919209,24.8565163580875
"21",23.525366819593,20.1970047028585
"22",24.3306752332104,16.2710863880263
"23",25.163550555604,13.0420937484364
"24",26.0249364432,10.4385854582629
"25",26.9158088551919,8.37284336664496
"26",27.8371771593134,6.75457711391138
"27",28.7900852754616,5.49948564349393
"28",29.7756128584696,4.53360288602933
"29",30.7948765213669,3.7947248288429
"30",31.8490311005129,3.23208526572685
"31",32.9392709640395,2.80514123904828
"32",34.0668313650817,2.4820239986956
"33",35.2329898413328,2.23797469152025
"34",36.4390676625079,2.0539244284501
"35",37.6864313273564,1.91528123903875
"36",38.9764941119187,1.81093269894517
"37",40.3107176707835,1.73244664402662
"38",41.6906136931571,1.67344192953727
"39",43.1177456156235,1.6290992833432
"40",44.5937303935338,1.59578451760786
"41",46.1202403330341,1.57076021634929
"42",47.6990049858052,1.55196620088443
"43",49.3318131086633,1.53785296996344
"44",51.0205146902395,1.52725567061285
"45",52.7670230470367,1.51929892746302
"46",54.573316991237,1.51332508194291
"47",56.4414430727164,1.50884014332062
"48",58.3735178978074,1.50547311392353
"49",60.3717305274357,1.50294539826142
"50",62.4383449573495,1.50104780685771
"51",64.57570268325,1.4996232753331
"52",66.7862253537303,1.49855388174042
"53",69.072417514029,1.49775109497754
"54",71.4368694437058,1.4971484512233
"55",73.8822600914551,1.49669605445953
"56",76.4113601103829,1.49635644709668
"57",79.027034997186,1.49610150955827
"58",81.7322483387892,1.49591013253714
"59",84.5300651701201,1.49576646942319
"60",87.4236554468264,1.49565862433421
"61",90.416297636868,1.49557766719012
"62",93.5113824350554,1.49551689431727
"63",96.7124166047426,1.4954712733814
"64",100.023026951027,1.49543702670025
"65",103.446964429955,1.49541131843939
"66",106.988108398398,1.49539201979354
"67",110.650471009403,1.4953775327114
"68",114.438201758,1.49536665756857
"69",118.355592182629,1.49535849383191
"70",122.407080727494,1.49535236549007
"71",126.597257771369,1.49534776507559
"72",130.930870828542,1.49534431164343
"73",135.412829927801,1.49534171922628
"74",140.048213175546,1.49533977315458
"75",144.842272509338,1.49533831228051
"76",149.800439648398,1.49533721563385
"77",154.928332247801,1.49533639240485
"78",160.231760263341,1.4953357744246
"79",165.716732534265,1.49533531052016
"80",171.389463591359,1.4953349622771
"81",177.256380698068,1.49533470085855
"82",183.324131132661,1.49533450461729
"83",189.599589719656,1.49533435730321
"84",196.089866619078,1.49533424671771
"85",202.80231538234,1.49533416370356
"86",209.744541283892,1.49533410138663
"87",216.924409938079,1.49533405460666
"88",224.350056210962,1.49533401948994
"89",232.029893437209,1.49533399312858
"90",239.972622952487,1.49533397333968
"91",248.18724395217,1.49533395848457
"92",256.683063687518,1.49533394733317
"93",265.469708010891,1.49533393896205
"94",274.557132281941,1.49533393267803
"95",283.955632647137,1.49533392796075
"96",293.675857705406,1.49533392441959
"97",303.728820573109,1.49533392176132
"98",314.125911362015,1.49533391976581
"99",324.878910084414,1.49533391826783
"100",336,1.49533391714333
